"Collection","Title","Minutes","Status","VideoId","Embed","HLS","Iframe"
"1 часть","№11 Видео-конспект Вебинар 1. №11 Логарифмическая и показательная функции","20,9","4","5059f256-1a2a-4e10-800d-700eb2657e6e","https://iframe.mediadelivery.net/embed/726880/5059f256-1a2a-4e10-800d-700eb2657e6e","","<div style=""position:relative;padding-top:56.25%""><iframe src=""https://iframe.mediadelivery.net/embed/726880/5059f256-1a2a-4e10-800d-700eb2657e6e?autoplay=false&preload=false"" loading=""lazy"" style=""border:0;position:absolute;top:0;height:100%;width:100%"" allowfullscreen=""true""></iframe></div>"
"1 часть","№11 Видео-конспект Вебинар 2. №11 Гипербола и корень (2)","20,8","4","5c590b75-a6cd-4a6d-9c8d-70910b20748b","https://iframe.mediadelivery.net/embed/726880/5c590b75-a6cd-4a6d-9c8d-70910b20748b","","<div style=""position:relative;padding-top:56.25%""><iframe src=""https://iframe.mediadelivery.net/embed/726880/5c590b75-a6cd-4a6d-9c8d-70910b20748b?autoplay=false&preload=false"" loading=""lazy"" style=""border:0;position:absolute;top:0;height:100%;width:100%"" allowfullscreen=""true""></iframe></div>"
"1 часть","№12 Видео-конспект Вебинар 1. Решаем все прототипы №12 из ФИПИ и ЕГЭ прошлых лет Производная с нуля и до ЕГЭ Часть 1 (2)","23,2","4","d94d5d7b-e0f5-4b8a-8260-82e737994e1f","https://iframe.mediadelivery.net/embed/726880/d94d5d7b-e0f5-4b8a-8260-82e737994e1f","","<div style=""position:relative;padding-top:56.25%""><iframe src=""https://iframe.mediadelivery.net/embed/726880/d94d5d7b-e0f5-4b8a-8260-82e737994e1f?autoplay=false&preload=false"" loading=""lazy"" style=""border:0;position:absolute;top:0;height:100%;width:100%"" allowfullscreen=""true""></iframe></div>"
"1 часть","№2 Видео-конспект Вебинар 2. Решаем все прототипы №2 из СБОРНИКА ЯЩЕНКО за 4 часа l Векторы из ЕГЭ по математике","34,3","4","125a87af-f791-48e2-89d6-97a10e27d1dd","https://iframe.mediadelivery.net/embed/726880/125a87af-f791-48e2-89d6-97a10e27d1dd","","<div style=""position:relative;padding-top:56.25%""><iframe src=""https://iframe.mediadelivery.net/embed/726880/125a87af-f791-48e2-89d6-97a10e27d1dd?autoplay=false&preload=false"" loading=""lazy"" style=""border:0;position:absolute;top:0;height:100%;width:100%"" allowfullscreen=""true""></iframe></div>"
"1 часть","№2 Видеоконспект_Векторы","19,3","4","5f86dafe-0051-4c30-a2ef-c1f43f6bbe05","https://iframe.mediadelivery.net/embed/726880/5f86dafe-0051-4c30-a2ef-c1f43f6bbe05","","<div style=""position:relative;padding-top:56.25%""><iframe src=""https://iframe.mediadelivery.net/embed/726880/5f86dafe-0051-4c30-a2ef-c1f43f6bbe05?autoplay=false&preload=false"" loading=""lazy"" style=""border:0;position:absolute;top:0;height:100%;width:100%"" allowfullscreen=""true""></iframe></div>"
"1 часть","№3 Видеоконспект_Стереометрия_Ч2_№3","19,8","4","2ec1e3e1-2b7e-4f77-a1a7-714a7b62b7d7","https://iframe.mediadelivery.net/embed/726880/2ec1e3e1-2b7e-4f77-a1a7-714a7b62b7d7","","<div style=""position:relative;padding-top:56.25%""><iframe src=""https://iframe.mediadelivery.net/embed/726880/2ec1e3e1-2b7e-4f77-a1a7-714a7b62b7d7?autoplay=false&preload=false"" loading=""lazy"" style=""border:0;position:absolute;top:0;height:100%;width:100%"" allowfullscreen=""true""></iframe></div>"
"1 часть","№3 Стерео №3 прототипы","19,5","4","f853e13f-90c7-4834-b26a-27f872a3c1b7","https://iframe.mediadelivery.net/embed/726880/f853e13f-90c7-4834-b26a-27f872a3c1b7","","<div style=""position:relative;padding-top:56.25%""><iframe src=""https://iframe.mediadelivery.net/embed/726880/f853e13f-90c7-4834-b26a-27f872a3c1b7?autoplay=false&preload=false"" loading=""lazy"" style=""border:0;position:absolute;top:0;height:100%;width:100%"" allowfullscreen=""true""></iframe></div>"
"1 часть","№4,5Видео-конспект Вебинар 1. №4,5 Несовместные события. Вероятностное пространство","18","4","6d1b1286-0a36-4272-a7f9-e6ca9a26539d","https://iframe.mediadelivery.net/embed/726880/6d1b1286-0a36-4272-a7f9-e6ca9a26539d","","<div style=""position:relative;padding-top:56.25%""><iframe src=""https://iframe.mediadelivery.net/embed/726880/6d1b1286-0a36-4272-a7f9-e6ca9a26539d?autoplay=false&preload=false"" loading=""lazy"" style=""border:0;position:absolute;top:0;height:100%;width:100%"" allowfullscreen=""true""></iframe></div>"
"1 часть","№7 Видео_конспект_Логарифмы_и_Степени","20,9","4","b3d5ca2d-6a20-410d-a9ed-d079157f3311","https://iframe.mediadelivery.net/embed/726880/b3d5ca2d-6a20-410d-a9ed-d079157f3311","","<div style=""position:relative;padding-top:56.25%""><iframe src=""https://iframe.mediadelivery.net/embed/726880/b3d5ca2d-6a20-410d-a9ed-d079157f3311?autoplay=false&preload=false"" loading=""lazy"" style=""border:0;position:absolute;top:0;height:100%;width:100%"" allowfullscreen=""true""></iframe></div>"
"1 часть","№7 Видео-конспект Вебинар 1. №6,7 Тригонометрия с нуля Тригонометрическая окружность Основные формулы","17","4","63764472-e87f-432b-87a6-46bff7b59c72","https://iframe.mediadelivery.net/embed/726880/63764472-e87f-432b-87a6-46bff7b59c72","","<div style=""position:relative;padding-top:56.25%""><iframe src=""https://iframe.mediadelivery.net/embed/726880/63764472-e87f-432b-87a6-46bff7b59c72?autoplay=false&preload=false"" loading=""lazy"" style=""border:0;position:absolute;top:0;height:100%;width:100%"" allowfullscreen=""true""></iframe></div>"
